"","","","","",""
"Item No ","Description","Unit ","Qty ","Rate ","Amount "
""," A. Substructure","","","",""
"","1. Excavation and Earth Works ","","","",""
"1.1","Clearing of Ordinary Soil, Root and a made up Ground of the site to an average depth of 20 cm from natural ground level ","m2","  840.00 ","  18.00 ","  15,120.00 "
"1.2","Bulk excavation in an ordinary soil  to a depth not exceeding  150 cm from  Cleared Level","m3","  1,247.09 ","  122.00 ","  152,144.37 "
"1.3","Ditto item No. 1.2.  but  exceeding 150 cm But not exceeding 300 cm from Cleared Level","m3","  1,247.09 ","  122.00 ","  152,144.37 "
"1.4","Ditto item No. 1.2.  but exceeding 300 cm but not exceeding 525 cm from cleared level","m3","  872.96 ","  218.00 ","  190,305.17 "
"1.5","Excavation in weathered rock with different depth","m3","-","  701.00 ","-"
"1.6","Ditto but in a Strong Basaltic rock of different depth","m3","-","  701.00 ","-"
"","Selected granular material fill from   quarry and well compacted with 10-16 ton roller in layers of not exceeding 20 cm  thick untill compaction attaining 98 % dry density.","","","",""
"1.7","a) Under Foundation ","m3","  832.00 ","  336.00 ","  279,552.00 "
"","b) On mat Foundation ","m3","  1,159.34 ","  336.00 ","  389,538.09 "
"1.8","Ditto but from Site ","","","",""
"","a) Under Foundation ","m3","-","  336.00 ","-"
"","b) On mat Foundation ","m3","-","  336.00 ","-"
"1.9","Load and cart away surplus excavated material to a suitable damping area allowed by the municipality not more than 10km from the site.","m3","  3,535.13 ","  94.00 ","  332,302.17 "
"1.10","Basaltic or equivalent stone hard core well rammed and consolidated and blinded with crushed stone to a finished thickness of 25 cm.","m2","  828.10 ","  227.00 ","  187,978.63 "
"","Total Carried To Summary ","","","","  1,699,084.80 "
"","2. Concrete Work","","","",""
"2.1","50mm thick lean concrete in class C-5 with minimum cement content of 150kg/m3 under: ","","","",""
""," (a) under mat foundation","m2","  832.00 ","  85.00 ","  70,720.00 "
""," (b) under Second Basement Floor Slab","m2","  828.10 ","  85.00 ","  70,388.47 "
"2.2","Reinforced concrete class in C-30 Cast in to form works and vibrated around rod reinforcement bars (form work and reinforcement bars are measured separately) the type of cement to be ordinary Portland cement of 400kg /1m3 of Concrete .","","","",""
"","(a) For mat Slab","m3","  267.82 ","  3,645.00 ","  976,185.68 "
"","(b) For mat beam","m3","  298.56 ","  3,645.00 ","  1,088,251.20 "
"","(c) For shear wall","m3","  31.43 ","  3,645.00 ","  114,574.74 "
"","(d) Basement Columns","m3","  43.20 ","  3,645.00 ","  157,464.00 "
"","(e) Ground Floor Beam","m3","  43.51 ","  3,645.00 ","  158,584.84 "
"","(f) Stair Case below Ground Floor ","m3","  6.80 ","  3,645.00 ","  24,773.24 "
"2.3","Reinforced concrete class in C-25 cast in to form works and vibrated around rod reinforcement bars (form work and reinforcement bars are measured separately) the type of cement to be ordinary Portland cement .Unit Price Shall include all the necessary chemicals used to attain the required Concrete grade.","","","",""
"","(a) For 10cm thick Sub Basement Floor Slab","m2","  535.63 ","  351.00 ","  188,006.13 "
"","(b)  In 30cm thick ground floor ribbed slab with concrete slab beam & 24cm thick block work. Unit price includes laying of the slab blocks and All the necessary details Required","m2","  524.90 ","  733.00 ","  384,751.70 "
"","( c)  In 20 cm thick Ground Floor Solid Slab ","m2","  19.21 ","  702.00 ","  13,481.91 "
"2.4","Provide ,cut and fix in position sawn Zigba wood formwork that should be strong  to resist the pressure of fresh concret.Price includes placing in position, fixing and dismantling for :","","","",""
"","(a) Mat Beam","m2","  837.70 ","  286.00 ","  239,582.20 "
"","(b) Basement Columns","m2","  252.72 ","  286.00 ","  72,277.92 "
"","(c) Shear Wall","m2","  129.16 ","  286.00 ","  36,938.62 "
"","(d) Stair Case","m2","  41.18 ","  286.00 ","  11,778.20 "
"","(e) Ground Floor Slab and Beam","m2","  792.41 ","  286.00 ","  226,627.83 "
"2.5","Provide and Fix S-400 Mild steel reinforcement bars according to structural drawings. Price Includes Cutting, Bending, Placing in position and tying wires and concrete spacers.","","","",""
"","(a) Dia  6 mm plain bar","Kg","  667.38 ","  41.00 ","  27,362.65 "
"","(b) Dia  8 mm deformed bar","Kg","  2,054.92 ","  41.00 ","  84,251.56 "
"","(c) Dia  10mm deformed bar","Kg","  2,614.66 ","  41.00 ","  107,201.10 "
"","(d) Dia  12mm deformed bar","Kg","  19,036.81 ","  41.00 ","  780,509.31 "
"","(e) Dia  14mm deformed bar","Kg","  5,123.99 ","  41.00 ","  210,083.41 "
"","(f) Dia  16mm deformed bar","Kg","  13,726.12 ","  41.00 ","  562,771.07 "
"","(g) Dia  20 mm deformed bar","Kg","  25,840.45 ","  41.00 ","  1,059,458.60 "
"","(h) Dia  24 mm deformed bar","Kg","  13,418.54 ","  41.00 ","  550,159.97 "
"2.6","Supply and Fix 10x100mm Styrofoam or Equivalent expansion joint filler between  beam and Slab","ml","  447.50 ","  32.00 ","  14,320.00 "
"","Total Carried To Summary ","","","","  7,230,504.32 "
"","B. SUPER STRUCTURE","","","",""
"","1. Concrete Work","","","",""
"1.1","Reinforced concrete class in C-30 Cast in to form works and vibrated around rod reinforcement bars (form work and reinforcement bars are measured separately) the type of cement to be ordinary Portland cement of 400kg /1m3 of Concrete .","","","",""
"","(a) In elevation column","m3","  412.56 ","  3,885.00 ","  1,602,795.60 "
"","(b) In lift shaft and Shear wall","m3","  199.64 ","  3,885.00 ","  775,614.61 "
"1.2","Reinforced concrete class in C-25 cast in to form works and vibrated around rod reinforcement bars (form work and reinforcement bars are measured separately) the type of cement to be ordinary Portland cement .Unit Price Shall include all the necessary chemicals used to attain the required Concrete grade.","","","",""
